case,n_mesh,n_shared_faces,worst_class,max_ratio,class_counts,msd,n_overlap_pairs,notes
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_100_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_100_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_150_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_150_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_150_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_200_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_200_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_200_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_300_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_300_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_300_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_400_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_400_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_400_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_500_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_500_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_500_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_50_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_50_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_50_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_600_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_600_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_600_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_75_RI=10.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_75_RI=20.fds,8,15,uniform,1,uniform=15,0.000679,0,
Validation/NIST_RSE_1994/FDS_Input_Files/NIST_RSE_1994_75_RI=5.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_2007/FDS_Input_Files/RSE_01.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_2007/FDS_Input_Files/RSE_02.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_2007/FDS_Input_Files/RSE_03.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_2007/FDS_Input_Files/RSE_04.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_2007/FDS_Input_Files/RSE_05.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_RSE_2007/FDS_Input_Files/RSE_06.fds,2,1,uniform,1,uniform=1,0.001,0,
