module,variable,decl_file,decl_line,kind,written_by,read_by_sample,blocks_pure_kernel,notes,fortran_type,dims,n_writers,n_runtime_writers,n_kernel_users,mesh_id_indexed
GLOBAL_CONSTANTS,RND_SEED,cons.f90,180,runtime_scalar,,INITIAL_NOISE(init.f90:5248); EDDY_AMPLITUDE(turb.f90:1963); EDDY_POSITION(turb.f90:1926),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",INTEGER,,0,0,3,
GLOBAL_CONSTANTS,RPR_T,cons.f90,333,runtime_scalar,READ_MISC(read.f90:1965),DIVERGENCE_PART_1(divg.f90:476); GAS_PHASE_OUTPUT(dump.f90:8978),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,2,
GLOBAL_CONSTANTS,RSC_T,cons.f90,332,runtime_scalar,READ_MISC(read.f90:1964),DIVERGENCE_PART_1(divg.f90:122); GAS_PHASE_OUTPUT(dump.f90:8856); MOVE_IN_GAS(part.f90:2680); CALCULATE_RHO_D_F(wall.f90:1009); SURFACE_HEAT_TRANSFER(wall.f90:903),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,5,
GLOBAL_CONSTANTS,RSUM0,cons.f90,479,runtime_scalar,READ_SPEC(read.f90:3539),INIT_CUTCELL_DATA(ccib.f90:7749); PROC_HVAC(hvac.f90:991); INITIALIZE_ATMOSPHERE(init.f90:467); INITIALIZE_MESH_VARIABLES_1(init.f90:599); SET_DENSITY_AND_MASS_FRACTIONS_AT_WALL(init.f90:3634),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,8,
GLOBAL_CONSTANTS,RTE_SOURCE_CORRECTION,cons.f90,249,runtime_scalar,READ_RADI(read.f90:10282),GET_SMOKE3D_QQ(dump.f90:5138); FDS[MAIN_LOOP](main.f90:1061); RADIATION_FVM(radi.f90:4087),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,3,
GLOBAL_CONSTANTS,SC_T,cons.f90,362,runtime_scalar,READ_MISC(read.f90:1791),DIVERGENCE_PART_1(divg.f90:146); INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3162),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,2,
GLOBAL_CONSTANTS,SEPARATOR,cons.f90,320,runtime_scalar,READ_DUMP(read.f90:2521),DUMP_MMS(dump.f90:13132); DUMP_PROF(dump.f90:11485); DUMP_SPEC(dump.f90:12862); DUMP_UVW(dump.f90:12805); PROC_DEVC(read.f90:15171),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(1),,1,0,5,
GLOBAL_CONSTANTS,SETUP_ONLY,cons.f90,206,runtime_scalar,READ_TIME(read.f90:1510),WRITE_SMOKEVIEW_FILE(dump.f90:1838); FDS(main.f90:207),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,2,
GLOBAL_CONSTANTS,SIM_MODE,cons.f90,587,runtime_scalar,READ_MISC(read.f90:1856),CC_COMPUTE_VISCOSITY(ccib.f90:5898); DIVERGENCE_PART_1(divg.f90:119); GAS_PHASE_OUTPUT(dump.f90:8836); INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3126); WRITE_DIAGNOSTICS(dump.f90:4334),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",INTEGER,,1,0,12,
GLOBAL_CONSTANTS,SLCF_PARTICLE_FLUX,cons.f90,676,runtime_scalar,READ_SLCF(read.f90:16281),DUMP_SLCF(dump.f90:6818); DUMP_SLCF_VTK(dump.f90:7436),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,3,
